First Name,Last Name,Major(s),Year,Standing,Email
Carolynn,Buggs,SE,Y1,FR,buggsc@school.edu
Alastair,Colton,MA,Y1,FR,coltona@school.edu
Nady,Lyngsted,CS,Y2,JR,lyngstn@school.edu
Melamie,Wadman,OE,Y5,SR,wadmanm@school.edu
George,Kimmings,CS,Y2,FR,kimming@school.edu
Montgomery,Kryszkiecicz,AB,Y5,SR,kryszkm@school.edu
Zacharie,Stedell,OE,Y1,FR,stedelz@school.edu
Franky,Goulstone,OE,Y3,JR,goulstf@school.edu
Elisha,Isoldi,OE,Y1,FR,isoldie@school.edu
Rozamond,Lambden,SE,Y2,FR,lambder@school.edu
Maryanne,Monteath,EE,Y4,SR,monteam@school.edu
Packston,Hollows,CPE,Y2,FR,hollowp@school.edu
Ginevra,Edgecumbe,CHEM,Y3,SO,edgecug@school.edu
Linnet,Castane,MA,Y4,SR,castanl@school.edu
Joyann,Bransdon,BE,Y3,SR,bransdj@school.edu
Wanids,Sleite,CPE,Y2,SO,sleitew@school.edu
Ulick,Connick,CHEM,Y3,SO,connicu@school.edu
Paolo,Charer,BE,Y1,SO,charerp@school.edu
Hakeem,Andrioletti,CHE,Y2,JR,andrioh@school.edu
Vilma,Danet,CHEM,Y1,FR,danetv@school.edu
Molli,Kohlert,CHE,Y5,SR,kohlerm@school.edu
Dari,Partner,BE,Y4,SR,partned@school.edu
Nikos,Wellwood,MA,Y4,JR,wellwon@school.edu
Analise,Elsom,CHEM,Y2,SO,elsoma@school.edu
Eleonore,Giffin,BE,Y1,FR,giffine@school.edu
Thane,Moxstead,CHE,Y5,SR,moxstet@school.edu
Padget,Boswood,CHE,Y3,JR,boswoop@school.edu
Marty,Padginton,OE,Y1,FR,padginm@school.edu
Pauletta,Pessler,CS,Y3,SR,pesslep@school.edu
Fernande,Braxton,MA,Y2,FR,braxtof@school.edu
Mordecai,Colleran,EE,Y1,FR,collerm@school.edu
Gideon,Hearthfield,BE,Y4,JR,hearthg@school.edu
Odie,Kneaphsey,MA,Y2,FR,kneapho@school.edu
Aurelia,Grayling,SE,Y4,JR,graylia@school.edu
Monty,Tapton,PH,Y1,FR,taptonm@school.edu
Perri,Eason,CPE,Y3,SO,easonp@school.edu
Donielle,Flaxman,CHE,Y1,FR,flaxmad@school.edu
Enoch,Follen,CS,Y5,SR,follene@school.edu
Vivyan,Larive,CHE,Y5,SR,larivev@school.edu
Dorine,Lamzed,PH,Y3,SR,lamzedd@school.edu
Luigi,Cock,CHEM,Y1,FR,cockl@school.edu
Mira,Lambell,CS,Y2,FR,lambelm@school.edu
Karrie,Bysh,MA,Y3,SO,byshk@school.edu
Kleon,Orht,BE,Y1,FR,orhtk@school.edu
Glyn,Fearn,CHEM,Y5,SR,fearng@school.edu
Nickola,Kennon,AB,Y4,SR,kennonn@school.edu
Klement,Osipenko,BE,Y3,SR,osipenk@school.edu
Sydelle,McLaughlan,MA,Y2,FR,mclaugs@school.edu
Fenelia,Hattam,OE,Y4,SR,hattamf@school.edu
Jena,Betho,AB,Y3,JR,bethoj@school.edu
Willyt,Squires,AB,Y3,SO,squirew@school.edu
Curran,Delacroux,CHE,Y5,SR,delacrc@school.edu
Norton,Duddridge,CHE,Y2,FR,duddrin@school.edu
Walker,Brizell,OE,Y1,SO,brizelw@school.edu
Rodrick,Bleeze,OE,Y2,FR,bleezer@school.edu
Ricki,Brunone,AB,Y1,FR,brunonr@school.edu
Fae,Horbart,AB,Y3,SO,horbarf@school.edu
Dougie,Storrie,BE,Y2,JR,storrid@school.edu
Dari,Carp,CPE,Y1,FR,carpd@school.edu
Rodolfo,McLese,PH,Y4,JR,mcleser@school.edu
Bibby,Annets,PH,Y3,SO,annetsb@school.edu
Raimund,Curd,EE,Y3,SO,curdr@school.edu
Andriette,Larby,CHE,Y2,FR,larbya@school.edu
Tabbie,Fawkes,PH,Y4,JR,fawkest@school.edu
Jaquith,Sach,CS,Y2,FR,sachj@school.edu
Lyon,Oldroyd,BE,Y2,SO,oldroyl@school.edu
Obadiah,Walthew,MA,Y3,SO,waltheo@school.edu
Ema,Annett,BE,Y3,JR,annette@school.edu
Zsazsa,Beach,CS,Y4,SR,beachz@school.edu
Samuel,Bonome,MA,Y1,FR,bonomes@school.edu
Rodolphe,Entwisle,MA,Y1,FR,entwisr@school.edu
Greg,Smith,CS,Y3,JR,smithg@school.edu
Yancey,Burbridge,MA,Y2,FR,burbriy@school.edu
Judas,Marshallsay,CHEM,Y1,SO,marshaj@school.edu
Theo,McKendo,CHEM,Y4,SR,mckendt@school.edu
Nickolai,Graben,EE,Y3,JR,grabenn@school.edu
Shayna,Janoschek,MA,Y2,JR,janoscs@school.edu
Guglielma,Kenn,EE,Y2,SO,kenng@school.edu
Vanya,Gillean,SE,Y2,FR,gilleav@school.edu
Magdalene,Godball,CHE,Y2,JR,godbalm@school.edu
Jaimie,Swaile,MA,Y4,SR,swailej@school.edu
Van,Coils,CHE,Y3,SO,coilsv@school.edu
Maurise,Luxford,CPE,Y2,JR,luxform@school.edu
Merci,Sander,EE,Y2,FR,sanderm@school.edu
Lincoln,McArthur,PH,Y1,FR,mcarthl@school.edu
Reginauld,Stigers,CHE,Y1,FR,stigerr@school.edu
Rheba,Govier,CPE,Y1,FR,govierr@school.edu
Niccolo,Cristoferi,BE,Y3,SO,criston@school.edu
Rozanna,Hanbury,PH,Y2,FR,hanburr@school.edu
Gus,Zecchetti,CPE,Y3,SR,zeccheg@school.edu
Katharina,Chill,MA,Y2,JR,chillk@school.edu
Zared,Monkman,OE,Y1,SO,monkmaz@school.edu
Tonie,Kurten,CS,Y2,SO,kurtent@school.edu
Joanna,Yashanov,SE,Y1,FR,yashanj@school.edu
Moshe,Landrieu,PH,Y1,FR,landrim@school.edu
Goran,Warfield,CHEM,Y4,JR,warfieg@school.edu
Batsheva,Abrams,OE,Y1,FR,abramsb@school.edu
Shirley,Priestner,OE,Y2,FR,priests@school.edu
Jonis,Plaistowe,AB,Y1,FR,plaistj@school.edu
Dannie,MacCrackan,EE,Y1,FR,maccrad@school.edu
Massimo,Thorlby,SE,Y5,SR,thorlbm@school.edu
Trudi,Lacaze,AB,Y2,FR,lacazet@school.edu
Selby,Sukbhans,BE,Y3,JR,sukbhas@school.edu
Georgie,Willwood,PH,Y2,SO,willwog@school.edu
Wiley,Piscotti,CHE,Y2,JR,piscotw@school.edu
Elmore,Corder,CPE,Y5,SR,cordere@school.edu
Devon,Mattis,CPE,Y4,SR,mattisd@school.edu
Broderic,Baker,CPE,Y5,SR,bakerb@school.edu
Ilse,Clampett,CS,Y2,FR,clampei@school.edu
Debera,Heifer,CHE,Y2,FR,heiferd@school.edu
Vivyan,Furzer,CS,Y5,SR,furzerv@school.edu
Milt,Simonich,BE,Y2,FR,simonim@school.edu
Maryrose,Espinal,SE,Y5,SR,espinam@school.edu
Eamon,Snawdon,EE,Y5,SR,snawdoe@school.edu
Harlene,Treversh,PH,Y4,JR,treverh@school.edu
Katlin,La Croce,CHEM,Y4,SR,la crok@school.edu
Errol,McCague,MA,Y1,FR,mccague@school.edu
Chadd,Filer,PH,Y3,JR,filerc@school.edu
Mychal,Marns,CPE,Y5,SR,marnsm@school.edu
Sly,Babber,OE,Y3,JR,babbers@school.edu
Hashim,Rosier,MA,Y1,FR,rosierh@school.edu
Gerladina,Dundredge,OE,Y4,SR,dundreg@school.edu
Hugo,Boorman,EE,Y5,SR,boormah@school.edu
Katleen,Ridd,AB,Y3,JR,riddk@school.edu
Jakie,Sherborn,CHE,Y2,FR,sherboj@school.edu
Gerardo,Reddyhoff,CPE,Y5,SR,reddyhg@school.edu
Rivy,Otridge,EE,Y5,SR,otridgr@school.edu
Nelly,Fazackerley,CS,Y2,FR,fazackn@school.edu
Maybelle,Formilli,OE,Y2,SO,formilm@school.edu
Salvatore,Warkup,CHEM,Y3,JR,warkups@school.edu
Haskel,Kibblewhite,OE,Y1,FR,kibbleh@school.edu
Demetre,Alyonov,CPE,Y3,SO,alyonod@school.edu
Tammy,Keeves,OE,Y3,SO,keevest@school.edu
Dimitri,Colecrough,CHE,Y4,SR,colecrd@school.edu
Andriette,Huttley,CS,Y2,SO,huttlea@school.edu
Blane,Wheatcroft,CHE,Y2,FR,wheatcb@school.edu
Janeczka,Asker,EE,Y2,FR,askerj@school.edu
Gertrud,Benyon,BE,Y2,FR,benyong@school.edu
Ilsa,Baroch,CPE,Y2,SO,barochi@school.edu
Nixie,Doberer,MA,Y4,JR,doberen@school.edu
Royal,Medler,CS,Y3,SR,medlerr@school.edu
Mort,Worrill,CHEM,Y1,FR,worrilm@school.edu
Norton,Asmus,EE,Y3,SO,asmusn@school.edu
Korie,Kachel,CHE,Y3,SR,kachelk@school.edu
Jeno,Brittles,AB,Y3,SR,brittlj@school.edu
Robinett,Merrison,CS,Y4,JR,merrisr@school.edu
Melody,Gierok,AB,Y5,SR,gierokm@school.edu
Jeannie,Galland,EE,Y1,SO,gallanj@school.edu
Morgan,Venard,EE,Y1,FR,venardm@school.edu
Tammie,Luparto,SE,Y3,SO,lupartt@school.edu
Lexis,Knutton,BE,Y2,FR,knuttol@school.edu
Willey,Enderwick,OE,Y4,JR,enderww@school.edu
Dyann,Wawer,CHEM,Y2,JR,wawerd@school.edu
Tessie,Kellogg,CPE,Y2,SO,kellogt@school.edu
Tristam,Belfrage,EE,Y3,JR,belfrat@school.edu
Ermengarde,Butler-Bowdon,SE,Y4,SR,butlere@school.edu
Bernice,Soggee,AB,Y5,SR,soggeeb@school.edu
Bronny,Illes,CS,Y4,SR,illesb@school.edu
Imelda,Calkin,AB,Y4,JR,calkini@school.edu
Linnie,Charnock,SE,Y1,SO,charnol@school.edu
Michail,Aldins,OE,Y2,JR,aldinsm@school.edu
Suzy,Wolseley,CHEM,Y1,SO,wolsels@school.edu
Wayland,Rickeard,MA,Y1,FR,rickeaw@school.edu
Zebadiah,Rambaut,CHEM,Y3,JR,rambauz@school.edu
Theodosia,Burnsall,EE,Y4,JR,burnsat@school.edu
Aigneis,Watting,SE,Y2,FR,wattina@school.edu
Broddy,Kareman,PH,Y3,SO,karemab@school.edu
Verena,Meneely,AB,Y2,JR,meneelv@school.edu
Gavan,Leyfield,BE,Y3,SR,leyfieg@school.edu
Selene,Gordge,SE,Y1,FR,gordges@school.edu
Camel,Doxsey,SE,Y2,JR,doxseyc@school.edu
Bell,Yallowley,OE,Y4,SR,yallowb@school.edu
Meggie,Cockland,CHE,Y2,JR,cocklam@school.edu
Sande,Humphries,OE,Y2,SO,humphrs@school.edu
Lucilia,Babb,OE,Y2,FR,babbl@school.edu
Jere,Pincked,CHEM,Y4,JR,pinckej@school.edu
Burk,Angrave,CHE,Y1,SO,angravb@school.edu
Florrie,Kopecka,BE,Y2,FR,kopeckf@school.edu
Alyda,Rawes,EE,Y2,SO,rawesa@school.edu
Ketti,Silbert,OE,Y5,SR,silberk@school.edu
Anna-diana,Schutte,AB,Y3,SR,schutta@school.edu
Greggory,Ledger,PH,Y4,JR,ledgerg@school.edu
Padriac,Goodhand,CHEM,Y1,FR,goodhap@school.edu
Blakeley,Bartul,AB,Y3,SR,bartulb@school.edu
Annamaria,Hansley,AB,Y2,SO,hanslea@school.edu
Gawen,Bolley,CHE,Y1,FR,bolleyg@school.edu
Minne,Shapero,OE,Y3,SR,shaperm@school.edu
Jewell,Kunisch,PH,Y4,SR,kuniscj@school.edu
